BookingDate,DistributionChannelId,CustomerGroupId,Origin,Destination,FlightNumber,FlightDate,BookingId,SegmentId,Revenue
30/10/2020 00:00:00,4,1,BER,CGN,8050,2020-11-26 06:40:00,-1177021975,371787803,"107,75"
13/10/2020 00:00:00,3,6,BER,DUS,8042,2020-11-15 15:00:00,4366432,371304579,"47,41"
30/07/2020 00:00:00,4,1,PMI,HAJ,3593,2020-08-23 07:20:00,-502522036,368317993,"33,77"
21/11/2020 00:00:00,4,1,LPA,DUS,9543,2020-11-22 11:20:00,1395962228,372182714,"226,99"
20/02/2020 00:00:00,3,8,DUS,HAM,9036,2020-09-29 15:30:00,614685460,359435779,"6,58"
19/10/2020 00:00:00,4,1,HAM,CGN,31,2020-11-26 17:40:00,-56028081,371770859,"38,78"
25/10/2020 00:00:00,4,1,BER,STR,2001,2020-11-21 09:20:00,-29115676,371649745,"38,78"
15/09/2020 00:00:00,2,1,CGN,SKG,652,2020-10-03 18:20:00,-1707610083,370338492,"33,0"
24/09/2020 00:00:00,9,1,STR,HAM,7043,2020-11-17 16:40:00,1998268301,371568119,"60,34"
26/10/2020 00:00:00,3,0,HAM,STR,7048,2020-11-26 18:50:00,-1453721259,371744673,"145,68"
19/11/2020 00:00:00,5,0,CGN,BER,20,2020-11-25 18:05:00,-2007169676,372118323,"241,37"
27/07/2020 00:00:00,4,1,DUS,LHR,9468,2020-11-26 06:50:00,1488395583,369208971,"124,99"
19/11/2020 00:00:00,6,9,ZRH,HAM,7761,2020-11-26 09:40:00,-573239957,372118878,"574,97"
27/11/2019 00:00:00,7,3,BLQ,DUS,9837,2020-09-06 16:00:00,-947641031,368606547,"122,99"
24/11/2020 00:00:00,6,9,DUS,MXP,9820,2020-11-26 18:10:00,-1243194656,372217410,"474,99"
13/11/2020 00:00:00,6,9,CGN,BER,8,2020-11-26 13:30:00,257126578,371997684,"96,2"
17/11/2020 00:00:00,4,1,DUS,VIE,9754,2020-11-26 07:15:00,1324145361,372067079,"168,99"
13/10/2020 00:00:00,8,5,MUC,DUS,9081,2020-11-23 08:35:00,-554924603,371274147,"0,0"
25/10/2020 00:00:00,9,1,STR,BER,2004,2020-11-26 18:35:00,717617313,371652661,"47,41"
22/11/2020 00:00:00,10,8,PMI,STR,2583,2020-11-26 12:45:00,490391947,372190280,"60,0"
30/09/2020 00:00:00,7,1,HAM,PMI,7580,2020-10-02 11:30:00,-727149205,370827252,"64,0"
09/02/2020 00:00:00,4,1,HAM,ARN,7218,2020-10-04 14:45:00,625503217,369996175,"40,49"
29/10/2020 00:00:00,4,1,DUS,MUC,9090,2020-11-25 17:30:00,-1402298395,371730904,"93,96"
28/01/2020 00:00:00,3,6,DUS,MXP,9824,2020-03-01 14:00:00,1346288543,356567170,"16,28"
18/11/2020 00:00:00,9,1,HAM,DUS,9039,2020-11-26 20:50:00,-892242775,372106820,"99,13"
23/11/2020 00:00:00,4,1,HAM,STR,7072,2020-11-26 13:55:00,-324354345,372213254,"31,66"
23/11/2020 00:00:00,3,0,DUS,MUC,9090,2020-11-26 17:30:00,1624818464,372199081,"257,75"
09/02/2020 00:00:00,4,1,DUS,MXP,9824,2020-03-01 14:00:00,381884730,358008095,"17,01"
27/10/2020 00:00:00,4,1,DUS,BER,8047,2020-11-26 20:30:00,535562129,371793713,"22,5"
22/11/2020 00:00:00,10,8,DUS,LPA,9542,2020-11-26 10:50:00,-1150546399,372189189,"117,9"
24/08/2020 00:00:00,4,1,LPA,DUS,9543,2020-11-26 15:25:00,-1156882788,369569987,"196,99"
03/07/2020 00:00:00,3,6,MUC,PMI,1992,2020-08-30 11:55:00,-761208968,366842807,"55,91"
19/11/2020 00:00:00,9,1,HAM,STR,2045,2020-11-23 08:50:00,-1868874882,372149830,"323,27"
19/11/2020 00:00:00,6,9,HAM,LHR,7460,2020-11-26 12:35:00,651286959,372114450,"179,21"
20/11/2020 00:00:00,3,6,LPA,DUS,9543,2020-11-26 15:25:00,705366874,372180351,"104,99"
24/11/2020 00:00:00,3,7,STR,BER,8005,2020-11-26 16:45:00,440215468,372217372,"17,5"
10/09/2020 00:00:00,4,1,CGN,LIS,602,2020-09-25 05:50:00,-195299076,370188588,"96,99"
